code,lat,long
AB10,57.0968288279534,-2.26173442919556
AB11,57.1416052650976,-2.11531900950888
AB12,57.1416156606459,-2.10342189193544
AB13,57.1351576410137,-2.090847924385
AB14,57.090591987166,-2.10327946210497
AB15,57.1160934907819,-2.11523955694755
AB16,57.1351253072723,-2.12785472345695
AB17,57.1225217469603,-2.15225388634534
AB18,57.1414977502984,-2.20058138401656
AB19,57.1160045428479,-2.18855446085465
AB20,57.2183717796504,-2.21292066855837
AB21,57.1545511733257,-2.10345807623653
AB22,57.1671053998933,-2.12730389546723
AB23,57.1545407726558,-2.11535934583267
AB24,57.1480608222738,-2.12789942360427
AB25,57.1545019995109,-2.1517242798084
AB26,57.1480022537145,-2.17615712013373
AB27,57.1609538864281,-2.16431540952056
AB29,57.1799642195272,-2.18821886576575
AB228,57.186731231005,-2.12020798761802
AB238,57.2110468740591,-2.08941242861129
AB31,56.8467513636496,-2.49343270963534
AB32,56.9750873944323,-2.22534700403459
AB33,57.0520288656044,-2.46845972543592
AB34,57.1095843286713,-2.68843758161615
AB35,57.0967178817762,-2.6756557223792
AB36,57.1481011361483,-2.31035488619922
AB37,57.1802136980715,-2.49323907824825
AB38,57.2184567192972,-2.80968728359214
AB39,57.3970361057019,-3.28552676175843
AB301,56.8466535867412,-2.47933270283079
AB313,57.0520288656044,-2.46845972543592
AB314,57.101608458819,-2.61382911115401
AB326,57.1528719665774,-2.29892379544245
AB327,57.1673882399741,-2.41298670260668
AB338,57.2250804018893,-2.74232681713356
AB344,57.1321964828624,-2.85863579493778
AB345,57.0796000525248,-2.79717315629675
AB355,57.0381613520845,-3.15038260769983
AB368,57.1977960360441,-3.06678306810579
AB379,57.329814960087,-3.35287328082358
AB387,57.5050808444054,-3.25158953832655
AB389,57.473860358464,-3.21143514980906
AB40,57.3398926286622,-2.16445034830934
AB41,57.6644679913415,-2.51722898516579
AB42,57.6579051115941,-2.68806936578323
AB43,57.6326803151758,-2.46854697796062
AB44,57.6327880971995,-2.10347793562551
AB45,57.6770233261097,-2.0056870486747
AB46,57.505479721133,-1.79872897930804
AB47,57.5181623421262,-1.8841310708364
AB48,57.5116951323992,-2.11515140892034
AB49,57.3651191113834,-2.09075210856893
AB410,57.3589196824519,-2.17650294809606
AB418,57.3990029109177,-2.05863868770124
AB419,57.3660522330263,-2.07906734859438
AB426,57.4990123609922,-1.79876452580947
AB427,57.4800643612681,-1.87157742804259
AB428,57.5181976696278,-2.06642628875817
